height,width,top,right,left,planta,numIntAu,abreviatura,nombre
6,7,1.6,0,14,planta-baja,53,2GUIA,2GUIA
6,7,1.6,0,21,planta-baja,51,GUI1A,GUIA 1A
7.5,6.5,1.6,0,28,planta-baja,52,GUI1B,GUIA 1B
5,18.4,15,0,12,planta-baja,50,Patio,Patio Deportes
6,7,1.6,0,21,planta-baja,51,GUI1A,GUIA 1A
5,8.1,12.8,0,44.2,planta-baja,43,0.11,1BACH-A
5,11.2,12.8,0,52.8,planta-baja,42,0.9,Aula de Dibujo
4.8,9,13.5,12.8,0,planta-baja,4,0.5,1DAM/DAW
5,6.9,18.6,15,0,planta-baja,35,0.7,2DAM/2DAW
4.8,3.6,30.82,13.8,0,planta-baja,2,0.3,2FPB
5,5.5,30.8,17.7,0,planta-baja,44,0.1,1FPB
6,7,1.6,0,21,planta-baja,51,GUI1A,GUIA 1A
6.5,4.5,36.5,0,12,planta-baja,46,0.2A,3DIVER
6.5,4.5,36.5,0,16.7,planta-baja,49,0.2B,4DIVER
12.5,11.3,5,4.9,0,planta-primera,17,1.11,Aula Taller Tecnología
6,11.6,26.5,6.1,0,planta-primera,18,1.9,1ESOC
6,11.6,26.5,18.3,0,planta-primera,15,1.7,1ESOB
6,11.6,26.5,29.75,0,planta-primera,14,1.5,1ESOA
6,11.6,26.5,41.3,0,planta-primera,13,1.3,3ESO_BDIVER
6.4,11.6,18,41.2,0,planta-primera,16,1.17,3ESO_BDIVER
6.4,11.6,18,29.7,0,planta-primera,36,1.15,3ESOA
6.4,11.6,18,18.2,0,planta-primera,19,1.13,1MECA
6.2,11.5,27,0,24.6,planta-primera,10,1.2,4ESOA
6.2,11.5,27,0,12.9,planta-primera,9,1.4,DESDOBLES
6.2,11.5,27,0,1.3,planta-primera,8,1.6,1BACHC
6,11.3,35.5,0,1.3,planta-primera,11,1.8,LABORATORIO DE CIENCIAS
6,11.3,35.5,0,18.7,planta-primera,12,1.12,1BACH-B
6.8,11.3,4,4.5,0,planta-segunda,27,2.11,INFORMATICA 1
6,8.9,11,7,0,planta-segunda,30,2.13,INFORMATICA 2
6,11.7,25.8,5.9,0,planta-segunda,32,2.9,2ESOC
6,11.1,25.8,18,0,planta-segunda,31,2.7,2ESOB
6,11.2,25.8,29.45,0,planta-segunda,28,2.5,2ESOA
6,11.1,25.8,18,0,planta-segunda,31,2.7,2ESOB
6,11.6,25.8,41,0,planta-segunda,26,2.3,4ESOB_DIVER
6,5.5,25.8,52.9,0,planta-segunda,25,2.1,2ESOA-AMB
6,4,17.2,41,0,planta-segunda,40,2.21,REOLIGIÓN EVANGÉLICA Y VE
6,8.7,17.2,41,0,planta-segunda,29,2.19,DESDOBLES
6,11.3,17.2,29.4,0,planta-segunda,39,2.17,4ESOC
6,11.2,17.2,18,0,planta-segunda,3,2.15,4ESOD
6.2,11.5,26.2,0,24.8,planta-segunda,31,2.2,DESDOBLES
6.2,11.5,26.2,0,13,planta-segunda,21,2.4,2BACH-C
6.2,11.5,26.2,0,1.5,planta-segunda,22,2.6,2BACH-A
6.1,11.3,34.6,0,1.5,planta-segunda,23,2.8,2BACH-B
6.1,11.3,34.6,0,18.9,planta-segunda,24,2.12,Laboratorio FyQ - Desdbl4ESOB
